id,Name,lft,rht,description,AnchorText,URLid,eye,hand lens,scope
1,Root,1,2144,NULL,NULL,NULL,NULL,NULL,NULL
2,Appearance,2,23,NULL,NULL,NULL,NULL,NULL,NULL
3,Appearance Color,3,22,NULL,NULL,NULL,NULL,NULL,NULL
4,Appearance Color Black,4,5,NULL,NULL,NULL,1,1,0
5,Appearance Color Bluish-White,6,7,NULL,NULL,NULL,1,1,0
6,Appearance Color Dull,8,9,NULL,NULL,NULL,1,1,0
7,Appearance Color Gray,10,11,NULL,NULL,NULL,1,1,0
8,Appearance Color Green,12,13,NULL,NULL,NULL,1,1,0
9,Appearance Color Pellucid,14,15,NULL,NULL,NULL,1,1,0
10,Appearance Color Protonemata Luminous,16,17,NULL,NULL,NULL,0,1,1
11,Appearance Color Shiny,18,19,NULL,NULL,NULL,1,1,0
12,Appearance Color White,20,21,NULL,NULL,NULL,1,1,0
13,Asexual Structures,24,75,NULL,NULL,NULL,NULL,NULL,NULL
14,Asexual Structures Axillary Brood Bodies,25,30,NULL,NULL,NULL,NULL,NULL,NULL
15,Asexual Structures Axillary Brood Bodies Hairs Red,26,27,NULL,NULL,NULL,0,1,1
16,Asexual Structures Axillary Brood Bodies Present,28,29,NULL,NULL,NULL,0,1,1
17,Asexual Structures Brood Bodies,31,52,NULL,NULL,NULL,NULL,NULL,NULL
18,Asexual Structures Brood Bodies Branches Common,32,33,NULL,NULL,NULL,0,1,0
19,Asexual Structures Brood Bodies Branches Filiform,34,35,NULL,NULL,NULL,0,1,1
20,Asexual Structures Brood Bodies Branches Long,36,37,NULL,NULL,NULL,0,1,1
21,Asexual Structures Brood Bodies Branches Present,38,39,NULL,NULL,NULL,0,1,1
22,Asexual Structures Brood Bodies Branches Short,40,41,NULL,NULL,NULL,0,1,1
23,Asexual Structures Brood Bodies Dense,42,43,NULL,NULL,NULL,0,1,1
24,Asexual Structures Brood Bodies Present,44,45,NULL,NULL,NULL,0,0,0
25,Asexual Structures Brood Bodies Septate,46,47,NULL,NULL,NULL,0,0,1
